MAKE,MODEL,MODEL_YR,BLIND_SPOT_DETECTION,FRNT_COLLISION_WARNING,LANE_DEPARTURE_WARNING
HYUNDAI,SANTA FE,2025,Standard,Standard,Standard
HYUNDAI,SANTA FE HYBRID,2025,Standard,Standard,Standard
HYUNDAI,SANTA FE HYBRID,2025,Standard,Standard,Standard
HYUNDAI,SONATA,2025,Standard,Standard,Standard
HYUNDAI,SONATA,2025,Standard,Standard,Standard
HYUNDAI,SONATA HYBRID,2025,Standard,Standard,Standard
HYUNDAI,TUCSON,2025,Standard,Standard,Standard
HYUNDAI,TUCSON,2025,Standard,Standard,Standard
HYUNDAI,TUCSON HYBRID,2025,Standard,Standard,Standard
HYUNDAI,TUCSON PLUG-IN HYBRID,2025,Standard,Standard,Standard
HYUNDAI,VENUE,2025,Optional,Standard,Standard
INFINITI,QX50,2025,Standard,Standard,Standard
INFINITI,QX50,2025,Standard,Standard,Standard
INFINITI,QX55,2025,Standard,Standard,Standard
INFINITI,QX60,2025,Standard,Standard,Standard
INFINITI,QX60,2025,Standard,Standard,Standard
INFINITI,QX80,2025,Standard,Standard,Standard
INFINITI,QX80,2025,Standard,Standard,Standard
JAGUAR,JAGUAR F-PACE,2025,Standard,Standard,Standard
JEEP,COMPASS,2025,Standard,Standard,Standard
JEEP,GLADIATOR,2025,Optional,Optional,None
JEEP,GRAND CHEROKEE,2025,Standard,Standard,Standard
JEEP,GRAND CHEROKEE,2025,Standard,Standard,Standard
JEEP,GRAND CHEROKEE 4XE,2025,Standard,Standard,Standard
JEEP,GRAND CHEROKEE L,2025,Standard,Standard,Standard
JEEP,GRAND CHEROKEE L,2025,Standard,Standard,Standard
JEEP,GRAND WAGONEER,2025,Standard,Standard,Standard
JEEP,GRAND WAGONEER,2025,Standard,Standard,Standard
JEEP,GRAND WAGONEER L,2025,Standard,Standard,Standard
JEEP,GRAND WAGONEER L,2025,Standard,Standard,Standard
JEEP,WAGONEER,2025,Standard,Standard,Standard
JEEP,WAGONEER,2025,Standard,Standard,Standard
JEEP,WAGONEER L,2025,Standard,Standard,Standard
JEEP,WAGONEER L,2025,Standard,Standard,Standard
JEEP,WAGONEER S,2025,Standard,Standard,Standard
JEEP,WRANGLER 2-DOOR,2025,Optional,Optional,None
JEEP,WRANGLER 4-DOOR,2025,Optional,Optional,None
JEEP,WRANGLER 4-DOOR 392,2025,Standard,Standard,None
JEEP,WRANGLER 4-DOOR 4XE,2025,Standard,Standard,None
JEEP,WRANGLER 4-DOOR RHD,2025,None,Standard,None
KIA,CARNIVAL,2025,Standard,Standard,Standard
KIA,CARNIVAL HEV,2025,Standard,Standard,Standard
KIA,EV6,2025,Standard,Standard,Standard
KIA,EV6,2025,Standard,Standard,Standard
KIA,EV9,2025,Standard,Standard,Standard
KIA,EV9,2025,Standard,Standard,Standard
KIA,K4,2025,Standard,Standard,Standard
KIA,K5,2025,Standard,Standard,Standard
KIA,K5,2025,Standard,Standard,Standard
KIA,NIRO,2025,Optional,Standard,Standard
KIA,NIRO EV,2025,Standard,Standard,Standard
KIA,NIRO PLUG-IN HYBRID,2025,Standard,Standard,Standard
KIA,SELTOS,2025,Standard,Standard,Standard
KIA,SELTOS,2025,Standard,Standard,Standard
KIA,SORENTO,2025,Standard,Standard,Standard
KIA,SORENTO,2025,Standard,Standard,Standard
KIA,SORENTO HYBRID,2025,Standard,Standard,Standard
KIA,SORENTO HYBRID,2025,Standard,Standard,Standard
KIA,SORENTO PLUG-IN HYBRID,2025,Standard,Standard,Standard
KIA,SOUL,2025,Optional,Standard,Standard
KIA,SPORTAGE,2025,Optional,Standard,Standard
KIA,SPORTAGE,2025,Optional,Standard,Standard
KIA,SPORTAGE HYBRID,2025,Optional,Standard,Standard
KIA,SPORTAGE HYBRID,2025,Optional,Standard,Standard
KIA,SPORTAGE PLUG-IN HYBRID,2025,Standard,Standard,Standard
KIA,SPORTAGE PLUG-IN HYBRID,2025,Standard,Standard,Standard
